User_Id,Place_Id,Place_Ratings
36,1,4
38,1,2
64,1,2
74,1,2
86,1,4
100,1,1
105,1,5
118,1,4
159,1,1
162,1,5
167,1,5
169,1,5
187,1,4
189,1,5
227,1,5
235,1,4
254,1,5
265,1,4
2,2,5
17,2,3
30,2,2
43,2,3
46,2,5
56,2,2
57,2,4
59,2,1
75,2,5
94,2,5
98,2,3
110,2,2
134,2,3
137,2,1
154,2,3
160,2,2
160,2,3
175,2,1
188,2,1
203,2,3
217,2,3
227,2,5
231,2,1
292,2,3
295,2,2
17,3,2
55,3,4
74,3,3
97,3,1
105,3,5
185,3,1
189,3,4
190,3,1
206,3,1
220,3,1
231,3,2
240,3,3
242,3,4
255,3,1
267,3,4
280,3,1
285,3,5
285,3,4
295,3,1
4,4,4
5,4,3
6,4,4
26,4,3
36,4,2
38,4,4
53,4,2
91,4,1
108,4,1
111,4,3
113,4,5
127,4,4
143,4,5
150,4,4
171,4,1
205,4,2
220,4,4
247,4,5
276,4,1
288,4,1
290,4,1
1,5,5
4,5,5
11,5,5
12,5,5
35,5,4
53,5,4
87,5,4
87,5,3
87,5,5
92,5,3
103,5,2
106,5,2
109,5,5
116,5,2
120,5,1
127,5,2
139,5,5
179,5,5
183,5,2
212,5,3
222,5,4
226,5,2
227,5,4
232,5,4
238,5,2
11,6,5
11,6,2
23,6,2
31,6,2
43,6,3
65,6,5
68,6,1
81,6,2
90,6,1
95,6,2
104,6,5
129,6,3
156,6,5
161,6,5
170,6,1
182,6,2
184,6,5
258,6,4
264,6,1
280,6,1
294,6,5
295,6,1
296,6,5
296,6,3
78,7,4
78,7,2
101,7,3
107,7,2
113,7,3
123,7,4
126,7,4
129,7,3
134,7,5
142,7,3
146,7,2
148,7,3
161,7,1
164,7,4
169,7,1
196,7,2
201,7,3
250,7,4
277,7,5
278,7,1
278,7,1
297,7,5
14,8,4
18,8,3
33,8,4
47,8,5
50,8,3
65,8,1
91,8,5
92,8,5
112,8,4
118,8,2
148,8,1
156,8,5
160,8,3
170,8,3
175,8,2
181,8,5
185,8,2
195,8,4
195,8,5
201,8,5
222,8,1
242,8,1
247,8,2
248,8,2
253,8,3
259,8,2
262,8,5
271,8,2
299,8,4
300,8,1
5,9,5
15,9,4
19,9,3
20,9,2
61,9,3
64,9,1
106,9,1
117,9,2
124,9,5
127,9,4
140,9,1
156,9,1
201,9,1
211,9,3
237,9,2
267,9,2
269,9,5
271,9,2
281,9,2
75,10,2
94,10,4
107,10,2
121,10,3
122,10,3
126,10,5
136,10,2
174,10,1
175,10,4
247,10,2
258,10,2
265,10,3
283,10,2
290,10,3
11,11,3
14,11,2
17,11,3
56,11,2
74,11,1
78,11,2
86,11,5
107,11,2
120,11,2
135,11,2
149,11,1
170,11,4
184,11,1
194,11,1
213,11,2
223,11,4
238,11,3
247,11,3
249,11,1
262,11,5
263,11,1
279,11,5
282,11,3
294,11,4
10,12,2
61,12,4
79,12,2
88,12,4
169,12,1
184,12,4
195,12,1
198,12,1
205,12,4
216,12,5
217,12,4
222,12,4
223,12,1
245,12,2
299,12,3
7,13,2
52,13,1
58,13,1
75,13,5
79,13,5
83,13,2
88,13,1
91,13,5
125,13,1
130,13,5
140,13,4
146,13,1
162,13,4
168,13,5
170,13,3
196,13,1
198,13,3
211,13,2
223,13,4
238,13,1
239,13,5
250,13,2
250,13,1
296,13,2
299,13,1
4,14,5
25,14,5
26,14,5
44,14,4
79,14,3
113,14,4
119,14,1
150,14,4
151,14,5
187,14,1
202,14,4
204,14,4
217,14,2
226,14,2
229,14,4
251,14,3
264,14,1
288,14,5
1,15,3
4,15,4
19,15,4
26,15,2
26,15,2
47,15,2
63,15,1
64,15,5
71,15,2
93,15,2
98,15,4
120,15,1
131,15,1
142,15,2
147,15,1
162,15,4
194,15,3
238,15,4
240,15,3
244,15,1
245,15,5
256,15,4
262,15,1
297,15,1
298,15,5
17,16,4
28,16,4
34,16,5
34,16,5
51,16,1
54,16,3
